teleplay_id,name,genre,type,episodes,members,rating
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,156116,7.49
23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,67,5.38
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,537892,8.07
24675,Future Card Buddyfight Recap,Game,Special,1,277,5.58
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,7680,6.38
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,2396,6.8
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,3550,6.44
9558,Cheung gong chat hou,Kids,long,1,215,6.13
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,6768,7.22
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,90612,8.18
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,1177,6.33
2366,Touma Kishinden Oni,Supernatural,medium,25,303,5.66
9340,Cheburashka,Comedy,long,1,545,5.94
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,1829,6.63
9242,Nine: Original Han,"Action, School, Sports",long,1,158,5.81
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,141,5.05
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,661,6.73
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,11015,7.41
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,186,5.61
33870,Kabi Usagi: Game Center,Comedy,ONA,1,39,5.06
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,53706,7.3
9916,Samurai Giants,Sports,medium,46,319,5.97
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,6308,6.49
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,62530,7.64
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,2167,6.64
1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,1973,6.25
1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,3462,6.8
33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om","Comedy, Police",Special,1,101,5.6
33811,Teekyuu 8,"Comedy, Shounen, Sports",medium,12,3961,7.12
5928,Kigyou Senshi Yamazaki: Long Distance Call,"Drama, Sci-Fi, Seinen",short,1,168,5.55
8456,Queen&#039;s Blade: Utsukushiki Toushitachi,"Action, Adventure, Ecchi, Fantasy",short,6,11540,6.68
1376,Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",short,13,3620,6.84
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,"Historical, Kids",short,1,130,5.93
21119,Sister Princess: Re Pure Character&#039;s,"Drama, Romance",Special,12,544,6.3
8294,Shinshou Genmukan,Restricted,short,4,2261,6.33
9778,Toriko Hime: Hakudaku Mamire no Reijou,Restricted,short,2,3025,6.36
386,H2,"Comedy, Romance, Shounen, Sports",medium,41,4450,7.31
8664,"Slime Boukenki: Umi da, Yeah!","Action, Adventure, Comedy, Fantasy, Game",Special,1,403,5.98
31128,Arslan Senki (TV): Dakkan no Yaiba,"Action, Adventure, Drama, Fantasy, Historical, Supernatural",Special,1,6686,7.47
4176,Wanna-Be&#039;s,"Action, Comedy, Sports",short,1,763,6.2
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",long,1,94435,8.0
28247,Pankis! 2-jigen,"Comedy, Music",medium,24,331,5.97
2733,Mobile Police Patlabor: MiniPato,Parody,short,3,1831,6.15
23005,Mogura no Motoro,Slice of Life,long,1,62,5.04
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",short,4,550,6.1
31422,Minami Kamakura Koukou Joshi Jitensha-bu,"School, Shounen, Sports",medium,Unknown,2216,6.68
2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",short,1,2049,6.63
4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",long,1,1060,6.47
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",long,1,1705,6.49
33914,Nineko Gelée: Opening Movie,"Fantasy, Music",Music,1,65,5.22
33694,Mukidashi no Koushi,"Comedy, Music",ONA,1,83,5.53
14125,Otogi no Kuni no Birthday,"Kids, Music",Music,1,144,5.81
3911,Shuukaku no Yoru,Restricted,short,2,1558,6.18
1490,Ginga Tetsudou Monogatari,"Action, Adventure, Drama, Sci-Fi, Space",medium,26,5947,7.34
23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",medium,25,215817,8.15
13463,Panda no Taputapu,Kids,medium,Unknown,131,5.78
19569,Junjou Shoujo Et Cetera,Restricted,short,2,2640,6.32
4191,Popolocrois Monogatari,"Adventure, Fantasy",medium,25,1260,6.49
1046,Elf wo Karu Mono-tachi II,"Adventure, Comedy, Fantasy",medium,12,8004,7.01
30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi",medium,13,6787,7.19
30395,Kuripuri*Kuripura,Comedy,long,1,104,5.15
1252,Fushigi no Umi no Nadia: Original Movie,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi",long,1,3644,7.42
20725,"Lies, Lies.",Music,Music,1,185,5.34
2227,Lady Lady!!,"Drama, Historical",medium,21,2681,7.26
2440,Suki da yo!,Restricted,short,2,1201,6.09
313,Ace wo Nerae! (1979),"Drama, Romance, School, Shoujo, Sports",long,1,1564,6.95
13855,Queen&#039;s Blade: Rebellion Specials,Ecchi,Special,6,4989,6.33
20801,Koakuma Kanojo The Animation,"Restricted, School, Supernatural",short,2,6680,6.69
17219,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,"Comedy, Fantasy, Kids",long,1,97,5.63
5020,Zettai Shougeki: Platonic Heart,"Action, Ecchi, Martial Arts",short,5,10887,6.43
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,"Mecha, Military, Sci-Fi, Space",short,3,7862,6.84
20189,Boku no Son Gokuu,"Adventure, Fantasy, Kids",long,1,186,6.21
1065,Touch,"Drama, Romance, School, Shounen, Slice of Life, Sports",medium,101,12833,8.22
19631,Tayu Tayu,"Harem, Restricted, Romance",short,4,3579,6.28
529,Saishuu Heiki Kanojo,"Drama, Romance, School, Sci-Fi",medium,13,58051,7.69
9205,Kaichuu!,"Comedy, Seinen, Sports",ONA,4,6941,7.18
30939,Shiranpuri,"Drama, School",short,1,155,5.86
33573,BanG Dream!,Music,medium,Unknown,1953,6.13
6939,Eien no Hou,"Fantasy, Sci-Fi",long,1,581,5.88
7808,Zukkoke Knight: Don De La Mancha,"Adventure, Comedy, Historical, Romance",medium,23,172,6.27
16101,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo","Fantasy, Seinen",ONA,1,3083,6.53
4220,Okon Joururi,"Drama, Fantasy, Historical",long,1,177,6.33
406,Buzzer Beater,"Shounen, Sports",medium,13,8439,7.31
32668,Noblesse: Awakening,"Action, School, Supernatural, Vampire",ONA,1,28864,6.98
1503,Mahou Shoujo Pretty Sammy Specials,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Special,7,798,6.5
14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",medium,13,349836,8.27
24857,Akagaki Genzou: Tokuri no Wakare,Comedy,long,1,87,5.01
12679,Joshiraku,"Comedy, Slice of Life",medium,13,51084,7.55
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",long,1,2634,6.86
18817,Yasai no Yousei: Quiz Gekijou,"Comedy, Kids",long,1,87,5.54
2348,Shitai wo Arau The Animation,Restricted,short,3,1410,6.14
1655,Nerima Daikon Brothers,"Comedy, Music",medium,12,5374,6.84
8547,Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"Comedy, Sci-Fi, Shounen",long,1,537,6.26
1050,Bobobo-bo Bo-bobo,"Adventure, Comedy, Sci-Fi, Shounen",medium,76,39041,7.91
3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,long,1,490,6.08
18943,Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,"Adventure, Comedy, Fantasy, Kids, Magic",long,1,87,5.77
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,"Adventure, Comedy, Fantasy, Kids",medium,52,656,6.96
34122,Minna de Bokumetsu Inshu Unten,Drama,Special,1,48,5.43
448,Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",short,2,29039,7.62
10456,Kyoukaisenjou no Horizon,"Action, Fantasy",medium,13,90977,7.46
9561,Shokupan Mimi,Comedy,medium,12,803,6.09
16586,Michitekuru Toki no Mukou ni,"Adventure, Fantasy, Romance",Special,1,126,5.22
8718,Itsumademo Tabibito,"Drama, Music",Music,1,226,5.73
2317,Hen,"Comedy, Ecchi",short,2,2153,5.96
8310,Magic Kaito,"Adventure, Comedy, Romance, Shounen",Special,12,27274,7.61
31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",long,1,4893,6.58
2762,Igano Kabamaru,"Adventure, Comedy, Romance, Shounen",medium,24,5063,7.15
5597,Natsu no Arashi!,"Comedy, Romance, Supernatural",medium,13,30098,7.15
3470,Special A,"Comedy, Romance, School, Shoujo",medium,24,173603,7.92
2947,Ojamajo Doremi Sharp Movie,"Kids, Magic, Shoujo",long,1,2037,6.93
28817,Mikagura Gakuen Kumikyoku,"Action, Comedy, School, Shoujo Ai",medium,12,47642,7.25
18747,Hotaru Kagayaku,"Drama, Kids",short,1,70,5.63
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,medium,6,566,6.13
706,Comic Party Revolution,"Comedy, Drama",medium,13,6690,7.05
33079,Meikyoku to Dai Sakkyokka Monogatari,"Historical, Music",short,9,44,5.72
808,Bakuretsu Hunters OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",short,3,3686,6.44
33880,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kuinee! - Choujyou Maguro Taiket,"Comedy, Police",Special,2,105,5.65
11729,Space Neko Theater,Comedy,ONA,1,584,5.92
31397,Mesu Kyoushi 4: Kegasareta Kyoudan,Restricted,short,2,2444,6.32
9866,Oshin,Drama,long,1,221,5.49
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",medium,12,91796,7.74
621,Night Walker: Mayonaka no Tantei,"Action, Comedy, Horror, Mystery, Vampire",medium,12,11143,6.85
1606,Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",medium,52,61884,7.99
23735,Kenzen Robo Daimidaler Specials,"Comedy, Ecchi, Mecha, Seinen",Special,6,3816,6.53
2101,Singles,"Romance, Shoujo",short,1,161,5.41
8422,Vampire Knight: Gekiai no Portrait,"Comedy, Shoujo, Vampire",Special,1,23727,7.07
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Drama, Magic, Shoujo",long,1,24968,7.41
2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",long,1,1833,7.24
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,106382,7.71
22481,Hello Kitty no Kieta Santa-san no Boushi,"Fantasy, Kids",short,1,103,5.48
1760,Golgo 13,"Action, Adventure, Drama, Military, Seinen",long,1,6344,7.08
1955,Kimagure Robot,"Comedy, Fantasy, Sci-Fi",medium,10,1521,6.45
30070,Shiroi Zou (1981),"Action, Historical",long,1,73,5.65
6893,Oni Chichi,Restricted,short,2,23605,6.97
4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,9610,6.75
33012,Island,"Drama, Sci-Fi",medium,Unknown,1659,6.36
1188,Momoiro Sisters,"Comedy, Slice of Life",medium,24,1366,6.55
8465,Ichiban Ushiro no Daimaou Specials,"Comedy, Ecchi, Fantasy, Magic, Shounen",Special,6,26025,7.26
14069,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,Kids,ONA,1,104,5.88
30089,Zombie Clay Animation: Life of the Dead,"Comedy, Horror",short,4,125,5.3
28587,Modern,,long,1,237,5.73
5772,Akaneiro ni Somaru Saka: Hardcore,"Comedy, Ecchi, Harem, Romance",Special,1,26925,6.6
12745,Bari Bari Densetsu (1987),"Action, Drama, Shounen, Sports",long,1,610,6.76
1853,Cutey Honey F,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",medium,39,3495,7.02
31510,Guitar,,long,1,47,5.14
2185,Words Worth Gaiden,"Action, Adventure, Fantasy, Restricted",short,2,2402,6.47
29749,Convenience Store Senki Purin-tai,Comedy,ONA,8,59,5.44
10936,Nekogami Yaoyorozu: Ohanami Ghostbusters,"Comedy, Seinen, Supernatural",short,1,2515,6.35
32195,Junjou Shoujo Et Cetera Specials,Restricted,Special,2,254,5.75
3171,Ryoujoku Hitozuma Onsen,Restricted,short,2,2099,6.28
34086,Tales of Zestiria the X (2017),"Action, Adventure, Fantasy",medium,12,10848,6.91
3463,A.LI.CE,Sci-Fi,long,1,1034,6.04
6489,Zero no Tsukaima: Princesses no Rondo Picture Drama,"Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School",Special,7,23532,7.3
5682,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",medium,26,159105,8.05
9438,Rainbow Sentai Robin,"Action, Adventure, Sci-Fi",medium,48,233,5.67
1167,Samurai Gun,"Action, Historical, Seinen",medium,12,5381,7.1
23581,Romeo no Aoi Sora Specials,"Adventure, Drama, Historical, Slice of Life",Special,2,297,6.62
4854,Fuuma no Kojirou: Yasha-hen,Action,short,6,819,5.96
2010,Taiho Shichau zo in America,"Action, Comedy, Police, Shounen",Special,1,2584,6.78
617,Juubee Ninpuuchou,"Adventure, Fantasy, Historical, Horror, Romance, Shounen, Supernatural",long,1,55697,7.85
29834,Moshidora Recap,"Drama, Sports",Special,1,251,6.2
5399,Internal Medicine,Restricted,short,2,846,6.0
5774,Seitokaichou ni Chuukoku,"Comedy, Drama, Romance, School, Yaoi",short,2,23730,7.16
5914,Kanamemo,"Comedy, Ecchi, Shoujo Ai, Slice of Life",medium,13,23757,7.04
33242,IS: Infinite Stratos 2 - Infinite Wedding,,Special,1,6604,6.71
34233,Kimoshiba,Comedy,medium,Unknown,81,5.21
4775,Lunatic Night,"Comedy, Restricted, Parody",short,3,688,6.06
12529,Time-Patrol Bon: Fujiko F. Fujio Anime Special - SF Adventure,"Action, Adventure",Special,1,83,5.07
5607,Love Machine: Animaid Shoufu 23-gou,Restricted,short,2,384,5.69
18683,Shibai Taroka,"Action, Comedy, Romance, School, Shounen",short,2,161,5.84
1866,Seirei Tsukai,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",long,1,1693,6.52
1947,Kikou Sennyo Rouran,"Action, Fantasy, Mecha",medium,28,1049,6.25
31573,Brave Beats,"Adventure, Music",medium,22,2299,6.67
18411,Gingitsune,"Seinen, Slice of Life, Supernatural",medium,12,33429,7.44
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",medium,25,66756,8.44
33569,Re:Petit kara Hajimeru Isekai Seikatsu,"Adventure, Comedy, Fantasy",Special,14,14310,7.24
5447,A-Girl,"Music, Romance, School, Shoujo",short,1,585,5.96
13755,Feeling from Mountain and Water,Music,long,1,437,5.93
24197,E no Umakatta Tomodachi,Music,Music,1,360,5.55
449,InuYasha: Guren no Houraijima,"Adventure, Comedy, Demons, Drama, Historical, Romance, Shounen, Supernatural",long,1,50008,8.33
7343,Youbi Masochist Animation,Restricted,short,2,201,5.38
23967,Fox Wood Monogatari,"Adventure, Kids",short,3,67,5.51
30442,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,Comedy,ONA,1,71,5.22
12135,Ra/Radio Noise*Planet,"Adventure, Psychological, Sci-Fi",short,1,595,5.91
11073,Pokemon: Ash&#039;s Journey,"Fantasy, Kids",long,1,4578,6.99
7174,Usaru-san,Kids,Special,4,822,6.53
11911,Pretty Rhythm: Aurora Dream - Prism Shougekijou,"Comedy, Shoujo",Special,51,1220,6.62
6116,Mainichi Kaasan,"Comedy, Slice of Life",medium,142,1707,6.84
8546,Dr. Slump Movie 02: &quot;Hoyoyo!&quot; Uchuu Daibouken,"Comedy, Sci-Fi, Shounen",long,1,596,6.3
22835,Himegoto,"Comedy, School",medium,13,42129,7.27
20469,Himeyuri,"Drama, Historical",long,1,395,6.49
25303,Haikyuu!! OVA,"Shounen, Sports",short,2,30063,7.53
30349,Legend of the Moles: The Treasure of Scylla,"Adventure, Fantasy, Kids",long,1,44,5.47
27891,Sword Art Online II: Debriefing,"Action, Adventure, Fantasy, Game",Special,1,39092,7.17
6072,Juuippiki no Neko to Ahoudori,"Adventure, Fantasy, Kids",long,1,286,5.98
31166,Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,Music,Special,1,127,5.52
30218,The iDOLM@STER Cinderella Girls: Special Program,"Comedy, Music",Special,1,1802,6.4
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",medium,74,7581,7.33
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,"Action, Drama, Mystery, Sci-Fi, Thriller",long,1,18770,7.35
8965,Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,"Adventure, Comedy, Kids",short,1,745,6.6
34437,Code Geass: Fukkatsu no Lelouch,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",,Unknown,22748,7.06
5877,Abunai Sisters: Koko &amp; Mika,"Action, Comedy, Ecchi",short,10,1461,5.84
9496,Itoshi no Betty Mamonogatari,"Fantasy, Romance, Seinen",long,1,134,5.4
3518,Ginga no Uo Ursa Minor Blue,"Fantasy, Kids",short,1,1568,6.61
19401,Kuusou no Sora Tobu Kikaitachi,Historical,long,1,651,6.22
2451,Space Cobra,"Action, Adventure, Sci-Fi, Space",medium,31,6919,7.09
869,Slayers Return,"Adventure, Comedy, Fantasy, Magic, Shounen",long,1,12909,7.29
24869,Aoi Umi to Shounen,Slice of Life,short,1,68,4.99
4052,Medarot Damashii,"Action, Adventure, Sci-Fi",medium,39,9590,7.07
33552,Mameshiba Bangai-hen,"Comedy, Music",Special,4,117,5.66
2785,OZ,"Action, Drama, Military, Sci-Fi, Shoujo",short,2,720,6.47
30464,Shinmai Maou no Testament Specials,"Comedy, Demons, Ecchi, Fantasy",Special,6,10046,6.74
30953,Arslan Senki (TV) Specials,Comedy,Special,8,5241,6.66
61,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",medium,26,126914,7.9
2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Action, Adventure, Drama, Sci-Fi, Space",medium,24,2072,7.02
14355,Yama no Susume,"Adventure, Comedy, Slice of Life",medium,12,27487,7.48
33845,Free! (Shinsaku),"School, Sports",,Unknown,8666,6.73
1353,The Urotsuki,"Adventure, Demons, Fantasy, Restricted, Horror",short,3,1480,6.29
33618,Ozmafia!! Special,"Historical, School, Shoujo",Special,1,574,6.13
10801,Copihan,"Comedy, School, Sci-Fi",ONA,7,6167,6.87
17469,Kouchuu Ouja Mushiking: Greatest Champion e no Michi,"Adventure, Fantasy",long,1,109,5.18
27569,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,"Comedy, Fantasy, Kids",long,1,66,5.53
31599,Kaette Kite yoo Toyama kara,Comedy,ONA,Unknown,51,5.2
25839,Bonjour♪Koiaji Pâtisserie,"Comedy, Harem, Romance, Shoujo, Slice of Life",ONA,24,22127,7.39
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",long,1,32266,8.21
2200,Muteki Choujin Zanbot 3,"Action, Drama, Mecha, Sci-Fi, Shounen",medium,23,1570,7.01
5826,Oira no Yakyuu,Sports,long,1,866,6.22
7193,Aoi Bungaku Series,"Drama, Historical, Psychological, Seinen, Thriller",medium,12,93074,8.2
4879,Mouryou no Hako,"Mystery, Seinen, Supernatural, Thriller",medium,13,36075,7.44
25377,TOTO Green Challenge,Slice of Life,ONA,1,115,5.57
197,Rizelmine,"Comedy, Ecchi, Romance, School, Sci-Fi",medium,24,16672,6.94
28885,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV): Heroine Kentei,"Comedy, Fantasy",ONA,11,91,5.65
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",medium,13,67916,7.7
5575,Karakara-sama no Himitsu,Restricted,short,1,316,5.6
19991,Tobidase! Bacchiri,"Comedy, Kids, Mystery",medium,132,72,6.04
368,Bible Black,Restricted,short,6,31309,7.12
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",medium,153,316102,8.57
3527,Lesbian Byoutou,Restricted,short,2,1149,6.05
32518,Shoujo kara Shoujo e...,Restricted,short,Unknown,1964,6.1
12487,Kyoukaisenjou no Horizon II,"Action, Fantasy, Sci-Fi",medium,13,46781,7.38
19029,Yuyushiki: Nyanyashiki,Comedy,Special,6,6805,6.73
2067,Gekiganger 3: The Movie,"Action, Comedy, Mecha, Parody, Sci-Fi, Shounen",short,1,2562,6.67
29541,Hello Kitty no Santa-san ga Futari Ita,"Fantasy, Music",short,1,57,5.25
22057,"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.","Comedy, Romance, Seinen, Supernatural",short,1,12930,6.79
31763,Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi",long,1,21916,6.91
20187,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Magic,Special,1,4545,6.44
21485,Dokkan! Robotendon,"Adventure, Kids, Slice of Life",medium,26,63,5.92
819,Boku wa Imouto ni Koi wo Suru,"Romance, Shoujo",short,1,26923,6.93
19983,Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,"Action, Adventure, Samurai, Shounen",long,1,90,5.32
25731,Cross Ange: Tenshi to Ryuu no Rondo,"Action, Mecha, Sci-Fi",medium,25,75807,7.55
5870,Hibari no Yadogae,Action,long,1,519,5.67
30947,Kurayami Santa,"Historical, Supernatural",medium,13,1715,6.63
2208,Flutter of Birds II: Tenshi-tachi no Tsubasa,"Drama, Restricted, Romance",short,2,827,6.26
25059,"Nikoniko, Pun","Comedy, Fantasy, Kids",medium,40,62,5.76
11043,Install Pilot,"Action, Sci-Fi, Shounen",Special,1,456,6.15
9608,Yuri Seijin Naoko-san,Comedy,short,1,9485,6.57
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha",long,1,72933,7.37
4599,Tanoshii Willow Town,"Fantasy, Kids",medium,26,295,6.42
20673,Hinata no Aoshigure,"Adventure, Fantasy, Romance",long,1,6970,6.7
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,"Adventure, Comedy, Fantasy, Game, Sci-Fi",Special,1,8891,6.95
3564,Pianist,Restricted,short,1,583,5.81
31798,Kiznaiver,"Drama, Sci-Fi",medium,12,197912,8.03
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",medium,26,10392,6.97
33192,Robot Town Sagami 2028,Drama,ONA,1,386,6.05
2424,Cardcaptor Sakura Specials,Comedy,Special,3,18604,7.01
9041,IS: Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",medium,12,254543,7.74
4726,Druaga no Tou: The Sword of Uruk,"Adventure, Fantasy",medium,12,46237,7.41
23989,Maken-Ki! Two Specials,Ecchi,Special,5,7858,6.46
25159,Inou-Battle wa Nichijou-kei no Naka de,"Comedy, Romance, School, Slice of Life, Supernatural",medium,12,144370,7.84
8215,Genji Tsuushin Agedama,"Action, Comedy, Parody, Sci-Fi",medium,51,477,6.14
5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,"Action, Fantasy, Magic, Romance, Super Power",medium,9,24799,7.01
5344,Time Bokan Series: Itadakiman,Mecha,medium,20,298,5.89
